country,year,happinessrank,happinessscore,gdp,family,lifeexpectancy,freedom,trust,generosity
Bolivia,2017,58,5.823,0.83376,1.22762,0.47363,0.55873,0.06048,0.22556
Turkmenistan,2017,59,5.822,1.13078,1.49315,0.43773,0.41827,0.25927,0.24992
Kazakhstan,2017,60,5.819,1.28456,1.38437,0.60604,0.43745,0.11928,0.20196
North Cyprus,2017,61,5.810,1.34691,1.18630,0.83465,0.47120,0.15535,0.26685
Slovenia,2017,62,5.758,1.34121,1.45252,0.79083,0.57258,0.04513,0.24265
Peru,2017,63,5.715,1.03523,1.21877,0.63017,0.45000,0.04705,0.12682
Mauritius,2017,64,5.629,1.18940,1.20956,0.63801,0.49125,0.04218,0.36093
Cyprus,2017,65,5.621,1.35594,1.13136,0.84471,0.35511,0.04124,0.27125
Estonia,2017,66,5.611,1.32088,1.47667,0.69517,0.47913,0.18325,0.09889
Belarus,2017,67,5.569,1.15656,1.44495,0.63771,0.29540,0.15631,0.15514
Libya,2017,68,5.525,1.10180,1.35756,0.52017,0.46573,0.09261,0.15207
Turkey,2017,69,5.500,1.19827,1.33775,0.63761,0.30074,0.09967,0.04669
Paraguay,2017,70,5.493,0.93254,1.50728,0.57925,0.47351,0.09107,0.22415
"Hong Kong S.A.R., China",2017,71,5.472,1.55167,1.26279,0.94306,0.49097,0.29393,0.37447
Philippines,2017,72,5.430,0.85770,1.25392,0.46801,0.58521,0.09933,0.19351
Serbia,2017,73,5.395,1.06932,1.25819,0.65078,0.20872,0.04090,0.22013
Jordan,2017,74,5.336,0.99101,1.23909,0.60459,0.41842,0.11980,0.17217
Hungary,2017,75,5.324,1.28601,1.34313,0.68776,0.17586,0.03664,0.07840
Jamaica,2017,76,5.311,0.92558,1.36822,0.64102,0.47431,0.05527,0.23382
Croatia,2017,77,5.293,1.22256,0.96798,0.70129,0.25577,0.04310,0.24800
Kosovo,2017,78,5.279,0.95148,1.13785,0.54145,0.26029,0.05747,0.31993
China,2017,79,5.273,1.08117,1.16084,0.74142,0.47279,0.02279,0.02881
Pakistan,2017,80,5.269,0.72688,0.67269,0.40205,0.23522,0.12435,0.31545
Indonesia,2017,81,5.262,0.99554,1.27444,0.49235,0.44332,0.01532,0.61170
Venezuela,2017,82,5.250,1.12843,1.43134,0.61714,0.15400,0.06449,0.06502
Montenegro,2017,83,5.237,1.12113,1.23838,0.66746,0.19499,0.08817,0.19791
Morocco,2017,84,5.235,0.87811,0.77486,0.59771,0.40816,0.08776,0.03221
Azerbaijan,2017,85,5.234,1.15360,1.15240,0.54078,0.39816,0.18099,0.04527
Dominican Republic,2017,86,5.230,1.07937,1.40242,0.57487,0.55259,0.11395,0.18697
Greece,2017,87,5.227,1.28949,1.23941,0.81020,0.09573,0.04329,0.00000
Lebanon,2017,88,5.225,1.07499,1.12962,0.73508,0.28852,0.03751,0.26445
