country,happinessrank,happinessscore,gdp,family,lifeexpectancy,freedom,generosity,trust,lat,lng,alcohol_per_year
Cameroon,96,5.044,0.54900,0.91000,0.33100,0.38100,0.18700,0.03700,7.369722,12.354722,22.6
Bulgaria,97,5.011,1.09200,1.51300,0.81500,0.31100,0.08100,0.00400,42.733883,25.485830,19.2
Ghana,98,4.996,0.61100,0.86800,0.48600,0.38100,0.24500,0.04000,7.946527,-1.023194,10.2
Nepal,100,4.913,0.44600,1.22600,0.67700,0.43900,0.28500,0.08900,28.394857,84.124008,7.4
Somalia,112,4.668,0.00000,0.69800,0.26800,0.55900,0.24300,0.27000,5.152149,46.199616,1.5
Namibia,113,4.639,0.87900,1.31300,0.47700,0.40100,0.07000,0.05600,-22.957640,18.490410,32.4
Niger,114,4.628,0.13800,0.77400,0.36600,0.31800,0.18800,0.10200,17.607789,8.081666,2.5
Burkina Faso,115,4.587,0.33100,1.05600,0.38000,0.25500,0.17700,0.11300,12.238333,-1.561593,22.2
Armenia,116,4.559,0.85000,1.05500,0.81500,0.28300,0.09500,0.06400,40.069099,45.038189,21.3
Iran,117,4.548,1.10000,0.84200,0.78500,0.30500,0.27000,0.12500,32.427908,53.688046,28.4
Guinea,118,4.534,0.38000,0.82900,0.37500,0.33200,0.20700,0.08600,9.945587,-9.696645,5.8
Georgia,119,4.519,0.88600,0.66600,0.75200,0.34600,0.04300,0.16400,42.315407,43.356892,27.9
Gambia,120,4.516,0.30800,0.93900,0.42800,0.38200,0.26900,0.16700,13.443182,-15.310139,14.1
Kenya,121,4.509,0.51200,0.98300,0.58100,0.43100,0.37200,0.05300,-0.023559,37.906193,14.1
Mauritania,122,4.490,0.57000,1.16700,0.48900,0.06600,0.10600,0.08800,21.007890,-10.940835,3.8
Mozambique,123,4.466,0.20400,0.98600,0.39000,0.49400,0.19700,0.13800,-18.665695,35.529562,11.4
Tunisia,124,4.461,0.92100,1.00000,0.81500,0.16700,0.05900,0.05500,33.886917,9.537499,36.6
Bangladesh,125,4.456,0.56200,0.92800,0.72300,0.52700,0.16600,0.14300,23.684994,90.356331,0.9
Iraq,126,4.437,1.04300,0.98000,0.57400,0.24100,0.14800,0.08900,33.223191,43.679291,12.4
Mali,128,4.390,0.38500,1.10500,0.30800,0.32700,0.15300,0.05200,17.570692,-3.996166,5.7
Sierra Leone,129,4.374,0.26800,0.84100,0.24200,0.30900,0.25200,0.04500,8.460555,-11.779889,18.3
Sri Lanka,130,4.366,0.94900,1.26500,0.83100,0.47000,0.24400,0.04700,7.873054,80.771797,14.9
Chad,132,4.350,0.35000,0.76600,0.19200,0.17400,0.19800,0.07800,15.454166,18.732207,6.9
Ukraine,133,4.332,0.82000,1.39000,0.73900,0.17800,0.18700,0.01000,48.379433,31.165580,13.8
Ethiopia,134,4.286,0.33600,1.03300,0.53200,0.34400,0.20900,0.10000,9.145000,40.489673,12.6
Swaziland,135,4.212,0.81100,1.14900,0.00000,0.31300,0.07400,0.13500,-26.522503,31.465866,
Uganda,136,4.189,0.33200,1.06900,0.44300,0.35600,0.25200,0.06000,1.373333,32.290275,26.0
Egypt,137,4.166,0.91300,1.03900,0.64400,0.24100,0.07600,0.06700,26.820553,30.802498,14.3
Zambia,138,4.107,0.57800,1.05800,0.42600,0.43100,0.24700,0.08700,-13.133897,27.849332,17.7
Togo,139,4.085,0.27500,0.57200,0.41000,0.29300,0.17700,0.08500,8.619543,0.824782,12.0
India,140,4.015,0.75500,0.76500,0.58800,0.49800,0.20000,0.08500,20.593684,78.962880,14.6
Liberia,141,3.975,0.07300,0.92200,0.44300,0.37000,0.23300,0.03300,6.428055,-9.429499,18.7
Comoros,142,3.973,0.27400,0.75700,0.50500,0.14200,0.27500,0.07800,-11.875001,43.872219,22.3
Madagascar,143,3.933,0.27400,0.91600,0.55500,0.14800,0.16900,0.04100,-18.766947,46.869107,9.2
Lesotho,144,3.802,0.48900,1.16900,0.16800,0.35900,0.10700,0.09300,-29.609988,28.233608,28.2
Burundi,145,3.775,0.04600,0.44700,0.38000,0.22000,0.17600,0.18000,-3.373056,29.918886,23.7
Zimbabwe,146,3.663,0.36600,1.11400,0.43300,0.36100,0.15100,0.08900,-19.015438,29.154857,27.2
Haiti,147,3.597,0.32300,0.68800,0.44900,0.02600,0.41900,0.11000,18.971187,-72.285215,16.5
Botswana,148,3.488,1.04100,1.14500,0.53800,0.45500,0.02500,0.10000,-22.328474,24.684866,26.2
Syria,149,3.462,0.61900,0.37800,0.44000,0.01300,0.33100,0.14100,34.802075,38.996815,15.5
Malawi,150,3.410,0.19100,0.56000,0.49500,0.44300,0.21800,0.08900,-13.254308,34.301525,15.5
Yemen,151,3.380,0.28700,1.16300,0.46300,0.14300,0.10800,0.07700,15.552727,48.516388,9.4
Rwanda,152,3.334,0.35900,0.71100,0.61400,0.55500,0.21700,0.41100,-1.940278,29.873888,25.6
Tanzania,153,3.231,0.47600,0.88500,0.49900,0.41700,0.27600,0.14700,-6.369028,34.888822,25.8
Afghanistan,154,3.203,0.35000,0.51700,0.36100,0.00000,0.15800,0.02500,33.939110,67.709953,33.5
Central African Republic,155,3.083,0.02600,0.00000,0.10500,0.22500,0.23500,0.03500,6.611111,20.939444,8.8
Congo [Republic],103,4.812,0.67300,0.79900,0.50800,0.37200,0.10500,0.09300,-0.228021,15.827659,15.1
Congo [DRC],127,4.418,0.09400,1.12500,0.35700,0.26900,0.21200,0.05300,-4.038333,21.758664,7.1
CГґte d'Ivoire,99,4.944,0.56900,0.80800,0.23200,0.35200,0.15400,0.09000,7.539989,-5.547080,21.7
Myanmar [Burma],131,4.360,0.71000,1.18100,0.55500,0.52500,0.56600,0.17200,21.913965,95.956223,17.6
Macedonia [FYROM],84,5.274,0.98300,1.29400,0.83800,0.34500,0.18500,0.03400,41.608635,21.745275,
Trinidad and Tobago,39,6.192,1.23100,1.47700,0.71300,0.48900,0.18500,0.01600,10.691803,-61.222503,14.2
