country,happinessscore,gdp,family,lifeexpectancy,freedom,generosity,trust,alcohol_liperyear
Panama,6.321,1.14900,1.44200,0.91000,0.51600,0.10900,0.05400,16.5
Sierra Leone,4.374,0.26800,0.84100,0.24200,0.30900,0.25200,0.04500,18.3
Sri Lanka,4.366,0.94900,1.26500,0.83100,0.47000,0.24400,0.04700,14.9
Chad,4.350,0.35000,0.76600,0.19200,0.17400,0.19800,0.07800,6.9
Ukraine,4.332,0.82000,1.39000,0.73900,0.17800,0.18700,0.01000,13.8
Ethiopia,4.286,0.33600,1.03300,0.53200,0.34400,0.20900,0.10000,12.6
Swaziland,4.212,0.81100,1.14900,0.00000,0.31300,0.07400,0.13500,34.4
Uganda,4.189,0.33200,1.06900,0.44300,0.35600,0.25200,0.06000,26.0
Egypt,4.166,0.91300,1.03900,0.64400,0.24100,0.07600,0.06700,14.3
Zambia,4.107,0.57800,1.05800,0.42600,0.43100,0.24700,0.08700,17.7
Togo,4.085,0.27500,0.57200,0.41000,0.29300,0.17700,0.08500,12.0
India,4.015,0.75500,0.76500,0.58800,0.49800,0.20000,0.08500,14.6
Liberia,3.975,0.07300,0.92200,0.44300,0.37000,0.23300,0.03300,18.7
Comoros,3.973,0.27400,0.75700,0.50500,0.14200,0.27500,0.07800,22.3
Madagascar,3.933,0.27400,0.91600,0.55500,0.14800,0.16900,0.04100,9.2
Lesotho,3.802,0.48900,1.16900,0.16800,0.35900,0.10700,0.09300,28.2
Burundi,3.775,0.04600,0.44700,0.38000,0.22000,0.17600,0.18000,23.7
Zimbabwe,3.663,0.36600,1.11400,0.43300,0.36100,0.15100,0.08900,27.2
Haiti,3.597,0.32300,0.68800,0.44900,0.02600,0.41900,0.11000,16.5
Botswana,3.488,1.04100,1.14500,0.53800,0.45500,0.02500,0.10000,26.2
Syria,3.462,0.61900,0.37800,0.44000,0.01300,0.33100,0.14100,15.5
Malawi,3.410,0.19100,0.56000,0.49500,0.44300,0.21800,0.08900,15.5
Yemen,3.380,0.28700,1.16300,0.46300,0.14300,0.10800,0.07700,9.4
Rwanda,3.334,0.35900,0.71100,0.61400,0.55500,0.21700,0.41100,25.6
Tanzania,3.231,0.47600,0.88500,0.49900,0.41700,0.27600,0.14700,25.8
Afghanistan,3.203,0.35000,0.51700,0.36100,0.00000,0.15800,0.02500,33.5
Central African Republic,3.083,0.02600,0.00000,0.10500,0.22500,0.23500,0.03500,8.8
Congo [Republic],4.812,0.67300,0.79900,0.50800,0.37200,0.10500,0.09300,15.1
Congo [DRC],4.418,0.09400,1.12500,0.35700,0.26900,0.21200,0.05300,7.1
Côte d'Ivoire,4.944,0.56900,0.80800,0.23200,0.35200,0.15400,0.09000,21.7
Myanmar [Burma],4.360,0.71000,1.18100,0.55500,0.52500,0.56600,0.17200,17.6
Trinidad and Tobago,6.192,1.23100,1.47700,0.71300,0.48900,0.18500,0.01600,14.2
